months_as_customer,age,policy_state,policy_deductable,policy_annual_premium,umbrella_limit,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital-gains,capital-loss,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year,fraud_reported,_c39,claim_to_premium_ratio,policy_csl_limit
328,48,2,1000,1406.91,0,1,4,2,17,0,53300,0,2,2,0,3,4,1,5,1,1,1,2,1,71610,6510,13020,52080,10,1,2004,1,,50.86262616218366,250
228,42,1,2000,1197.22,5000000,1,4,6,15,2,0,0,3,1,1,3,5,5,8,1,0,0,0,0,5070,780,780,3510,8,12,2007,1,,4.231276393316753,250
134,29,2,2000,1413.14,5000000,0,6,11,2,3,35100,0,0,1,1,3,1,1,7,3,0,2,3,0,34650,7700,3850,23100,4,30,2007,0,,24.5025245025245,100
256,41,0,2000,1415.74,6000000,0,6,1,2,4,48900,-62400,2,0,0,3,2,0,5,1,0,1,2,0,63400,6340,6340,50720,3,34,2014,1,,44.75062467354631,250
228,44,0,1000,1583.91,6000000,1,0,11,2,4,66000,-46000,3,1,1,4,1,0,20,1,0,0,1,0,6500,1300,650,4550,0,31,2009,0,,4.1011792467711095,500
256,39,2,1000,1351.1,0,0,6,12,3,4,0,0,0,1,0,1,4,0,19,3,0,0,2,0,64100,6410,6410,51280,10,3,2003,1,,47.40773611419274,250
137,34,1,1000,1333.35,0,1,6,9,2,0,0,-77000,0,0,1,3,1,6,0,3,0,0,0,0,78650,21450,7150,50050,9,29,2012,0,,58.94255630082063,250
165,37,0,1000,1137.03,0,1,0,12,0,4,0,0,0,0,2,3,5,1,23,3,0,2,2,1,51590,9380,9380,32830,1,5,2015,0,,45.33272409338945,100
27,33,0,500,1442.99,0,0,6,7,9,3,0,0,2,0,2,3,6,0,21,1,0,1,1,1,27700,2770,2770,22160,12,9,2012,0,,19.182958330736362,100
212,42,0,500,1315.68,0,1,6,8,4,5,0,-39300,2,1,2,2,0,2,14,1,0,2,1,0,42300,4700,4700,32900,10,1,1996,0,,32.12625694929672,100
235,42,2,500,1253.12,4000000,0,5,3,7,2,38400,0,2,0,2,3,1,3,22,1,1,2,2,0,87010,7910,15820,63280,5,14,2002,0,,69.37932574235322,100
447,61,2,2000,1137.16,0,0,2,3,16,2,0,-51000,0,0,0,1,4,6,21,3,1,1,2,1,114920,17680,17680,79560,1,4,2006,0,,100.9699866451114,100
60,23,2,500,1215.36,3000000,1,4,10,15,5,0,0,2,1,2,0,4,3,9,1,1,1,0,0,56520,4710,9420,42390,10,3,2000,0,,46.466506626327735,500
121,34,2,1000,936.61,0,0,4,1,3,5,52800,-32800,1,1,1,4,4,6,5,1,0,1,1,0,7280,1120,1120,5040,12,18,2010,0,,7.764422307782554,100
180,38,2,2000,1301.13,0,0,1,6,2,1,41300,-55500,2,1,2,3,4,6,12,1,0,0,2,1,46200,4200,8400,33600,4,27,2003,1,,35.480328385030674,250
473,58,1,2000,1131.4,0,0,4,13,12,2,55700,0,0,2,0,2,6,2,12,4,1,0,0,0,63120,10520,10520,42080,0,23,1999,1,,55.740021193924406,100
70,26,2,1000,1199.44,5000000,1,1,6,10,3,63600,0,0,1,0,2,1,5,0,3,0,1,2,1,52110,5790,5790,40530,9,26,2012,0,,43.40908333611009,500
140,31,1,500,708.64,6000000,1,2,6,15,4,53500,0,2,2,2,3,6,3,9,1,0,0,2,1,77880,14160,7080,56640,11,21,2015,0,,109.74578659602052,500
160,37,2,500,1374.22,0,0,4,2,19,2,45500,-37800,2,2,2,2,1,4,19,1,1,1,0,0,72930,6630,13260,53040,0,33,2015,0,,53.03151495760678,500
196,39,1,2000,1475.73,0,0,2,5,4,3,57000,-27300,0,2,0,3,5,1,8,3,0,2,0,0,60400,6040,6040,48320,9,29,2014,0,,40.90118031055101,500
460,62,1,1000,1187.96,4000000,1,3,7,3,3,0,0,0,1,1,3,1,1,20,3,0,1,0,0,47160,0,5240,41920,11,19,2011,0,,39.66491723859507,250
217,41,0,2000,875.15,0,0,0,6,16,3,46700,0,0,2,2,3,4,0,15,3,0,1,2,0,37840,0,4730,33110,0,31,1996,0,,43.18895166352794,500
370,55,0,2000,972.18,0,1,2,9,13,2,72700,-68200,0,1,0,0,4,2,20,3,0,0,0,1,71520,17880,5960,47680,11,15,2000,1,,73.49102940874248,100
413,55,1,2000,1268.79,0,1,4,8,5,3,0,-31000,2,0,2,0,6,3,15,1,0,2,2,0,98160,8180,16360,73620,4,30,2011,1,,77.30412115389159,100
237,40,1,1000,883.31,0,1,1,2,11,0,0,-53500,2,1,1,2,5,5,6,1,0,1,3,0,77880,7080,14160,56640,5,13,2005,0,,88.06866370390475,100
8,35,2,2000,1266.92,0,1,5,11,14,3,0,0,0,1,0,2,2,0,16,3,0,1,3,1,71500,16500,11000,44000,5,13,2006,1,,56.39157044608492,100
257,43,1,2000,1322.1,0,1,2,9,9,3,0,-29200,1,1,1,3,3,0,4,1,1,1,3,1,9020,1640,820,6560,12,9,2005,0,,6.8173229536694135,100
202,34,1,500,848.07,3000000,1,3,3,5,1,31000,-30200,3,1,1,4,5,4,5,1,1,2,1,0,5720,1040,520,4160,11,15,2003,1,,6.736782597430129,100
224,40,2,2000,1291.7,0,0,3,11,11,1,0,-55600,2,2,1,2,4,3,21,1,0,1,0,1,69840,7760,15520,46560,4,27,2009,0,,54.02645625435136,100
241,45,0,2000,1104.5,0,0,6,6,1,4,0,0,2,1,1,3,4,4,5,1,0,2,2,0,91650,14100,14100,63450,0,33,2011,0,,82.90366350067842,500
64,25,0,1000,954.16,0,1,5,9,18,0,53200,0,0,2,0,0,4,1,22,4,0,0,0,0,75600,12600,12600,50400,12,11,2005,0,,79.1490430922568,250
166,37,0,2000,1337.28,8000000,1,3,2,15,0,27500,0,0,2,0,3,6,5,10,3,0,2,2,0,67140,7460,7460,52220,5,14,2006,1,,50.16887347939146,100
155,35,0,1000,1088.34,0,0,0,0,19,2,81100,0,0,0,2,3,1,0,16,3,1,2,3,0,29790,3310,3310,23170,2,0,2008,0,,27.34683386270586,500
114,30,0,1000,1558.29,0,1,2,4,18,5,51400,-64000,0,0,0,0,1,2,1,3,0,1,2,0,77110,14020,14020,49070,11,19,2015,0,,49.4519941768369,100
149,37,0,500,1415.68,0,1,6,9,19,3,0,0,2,2,2,1,6,2,17,1,1,0,1,1,64800,10800,5400,48600,1,4,1999,0,,45.7407459694497,500
147,33,2,1000,1334.15,6000000,1,2,2,15,1,53300,-49200,2,0,0,2,6,6,15,1,1,2,0,1,53100,10620,5310,37170,8,7,1995,1,,39.77081226828446,100
62,28,0,1000,988.45,0,0,5,10,4,4,0,0,2,1,2,3,1,4,3,1,0,1,1,1,60200,6020,6020,48160,11,15,2004,1,,60.841881853555,100
289,49,0,2000,1222.48,0,0,3,8,9,4,0,0,1,1,1,4,6,0,16,1,0,1,1,1,5330,1230,820,3280,11,21,2001,0,,4.356425932585739,500
431,54,1,2000,1155.55,0,0,4,2,3,4,65700,0,0,1,0,3,1,2,4,3,0,2,0,0,62300,12460,6230,43610,7,36,2007,0,,53.86710475119969,500
199,37,1,500,1262.08,0,1,3,12,18,5,48500,0,2,0,0,0,0,1,4,1,0,0,3,0,60170,10940,10940,38290,9,29,2011,1,,47.637520980460465,250
79,26,0,500,1451.62,0,1,0,12,11,1,0,-55700,2,1,1,0,6,1,19,1,0,2,2,0,40000,8000,4000,28000,2,22,2010,0,,27.536451377510982,100
116,34,1,500,1737.66,0,1,0,13,5,4,0,-24100,2,2,0,3,6,4,1,1,0,1,1,0,97080,16180,16180,64720,2,37,2001,1,,55.83610366604166,250
37,23,0,500,1475.93,0,0,1,9,10,0,0,-67400,0,2,1,2,4,6,17,3,1,1,0,0,51660,5740,5740,40180,4,30,2010,0,,34.97796104080762,500
106,30,2,500,538.17,0,0,6,13,15,3,49700,-60200,2,1,2,2,0,0,23,1,0,2,2,0,51120,5680,5680,39760,8,12,2005,0,,94.81239683216796,250
269,44,0,2000,1081.08,0,1,3,8,15,4,36400,-28700,2,0,1,2,4,6,14,1,1,0,2,0,56400,11280,11280,33840,12,18,2014,0,,52.12183942037558,100
265,40,0,1000,1454.43,0,0,4,10,19,0,0,0,0,1,2,2,1,0,17,3,0,2,3,0,55120,6890,0,48230,0,23,2002,0,,37.87196910878572,250
163,33,1,500,1240.47,0,0,0,7,14,0,35300,0,0,1,2,1,0,3,11,3,1,1,1,0,77110,0,14020,63090,6,10,2014,0,,62.111851273087545,100
355,47,2,2000,1273.7,4000000,1,1,7,11,0,0,0,0,0,0,1,6,0,19,3,0,2,1,0,62800,6280,6280,50240,1,4,2003,1,,49.266494077037734,500
175,34,1,1000,1123.87,8000000,0,6,10,7,2,0,0,3,1,3,3,1,0,5,1,0,2,0,1,7290,810,810,5670,13,28,1995,0,,6.4807488865380005,500
192,35,0,1000,1245.89,0,0,5,3,12,5,0,-40300,2,1,2,2,6,6,19,1,0,0,0,0,76600,15320,7660,53620,8,7,2000,0,,61.43284491815637,100
430,59,2,2000,1326.62,7000000,1,4,7,3,3,0,0,0,0,1,1,1,5,19,3,0,0,3,1,81800,16360,8180,57260,9,29,1998,0,,61.61401605881201,250
91,27,0,2000,1073.83,0,0,3,4,14,0,0,0,3,1,3,4,1,0,4,1,0,1,2,0,7260,1320,660,5280,2,22,2008,0,,6.754556534521739,100
217,39,1,1000,1530.52,0,1,1,1,1,1,0,0,3,1,1,4,6,3,8,1,0,2,1,1,4300,430,430,3440,12,11,2000,0,,2.8076681989134977,100
223,40,1,500,1201.41,0,0,3,8,12,0,88400,-46500,0,2,0,3,0,1,7,3,1,1,0,0,70510,12820,12820,44870,11,15,1999,0,,58.640563534900735,100
195,39,2,1000,1393.57,0,1,6,6,12,1,47600,-39600,1,1,1,3,5,3,5,1,0,0,1,1,2640,480,480,1680,5,14,2009,0,,1.8930566411151826,250
22,26,2,1000,1276.57,0,1,6,2,16,1,71500,0,2,1,1,1,1,0,3,1,1,1,2,0,78900,15780,7890,55230,3,32,1995,0,,61.75786845339199,100
439,56,1,500,1082.49,0,0,6,9,5,4,36100,-55000,0,0,0,1,4,1,12,3,0,2,3,0,56430,0,6270,50160,6,8,2014,0,,52.08169895430507,250
94,32,1,1000,1414.74,0,0,5,0,10,3,0,0,1,1,1,4,5,5,19,1,0,1,3,0,2400,300,300,1800,3,32,2014,0,,1.6952265246443556,500
11,39,0,2000,1470.06,0,1,6,7,19,0,56600,-45800,2,0,2,0,6,5,22,1,1,0,1,0,65790,7310,7310,51170,10,2,2007,0,,44.72285290878686,250
151,36,2,2000,870.63,0,0,4,0,11,3,94800,-58500,0,2,1,3,5,2,12,3,0,1,1,0,62920,11440,5720,45760,5,13,2000,0,,72.18659293507567,250
154,34,1,500,795.23,0,1,6,6,0,2,36900,0,0,1,0,3,1,6,15,3,1,2,1,0,69480,15440,0,54040,9,26,2014,1,,87.26121849214422,100
245,44,0,1000,1168.2,0,1,3,5,1,0,69100,0,0,2,2,2,2,6,23,3,0,0,3,0,44280,7380,3690,33210,6,6,1997,0,,37.872049264454326,500
119,32,0,1000,993.51,0,1,2,1,3,4,0,-49500,2,2,1,2,6,2,12,1,0,0,3,1,56300,5630,11260,39410,2,22,2011,0,,56.610793254969785,500
215,42,2,500,1848.81,0,1,3,13,18,3,0,-49000,0,0,0,1,6,3,20,3,1,2,2,1,68520,11420,5710,51390,11,21,2003,1,,37.041642114595554,500
295,42,2,2000,1641.73,5000000,1,6,11,5,1,62400,0,0,1,2,1,5,5,16,3,0,0,0,0,59130,6570,6570,45990,5,13,2006,1,,35.994959609917636,250
254,39,1,500,1362.87,0,0,4,3,5,2,35700,0,0,0,1,0,1,0,6,3,1,2,2,0,82320,13720,6860,61740,4,27,1995,1,,60.35765872113912,100
107,31,1,500,1239.22,7000000,0,2,12,13,1,43400,-91200,2,2,1,1,4,6,12,1,1,0,1,0,89700,13800,13800,62100,1,5,2009,1,,72.32587766686555,250
478,64,2,500,835.02,0,0,0,0,15,4,59600,0,0,2,1,1,6,2,17,3,0,1,1,0,33930,0,3770,30160,2,38,1998,0,,40.5851534652281,250
128,30,2,1000,1061.33,0,1,4,6,12,3,43300,-66200,2,0,0,0,6,4,8,1,0,0,3,0,68530,12460,6230,49840,1,5,1997,0,,64.50914499261059,100
338,49,1,1000,1279.08,0,1,4,7,11,3,0,-51500,1,1,1,4,0,5,13,1,0,0,1,0,4300,860,860,2580,5,14,2004,0,,3.3591650521842387,500
271,42,2,500,1105.49,0,0,0,9,17,3,56200,-50000,0,2,0,2,4,2,12,2,0,2,3,0,68310,12420,6210,49680,1,4,2003,1,,61.73575902177155,100
222,41,2,2000,1055.53,0,0,4,1,6,1,37800,-50300,2,0,2,2,6,4,7,1,0,0,2,0,61290,6810,6810,47670,6,10,1995,1,,58.01065752983825,100
199,41,2,1000,895.83,0,0,0,11,13,0,0,0,2,1,1,0,0,0,10,1,0,1,2,0,30100,3010,0,27090,3,25,1999,0,,33.56265958988883,250
215,37,1,500,1632.93,0,0,1,13,9,1,0,-42900,0,1,1,1,4,5,7,3,0,2,0,1,57120,9520,4760,42840,8,7,2002,0,,34.95865795964331,100
